Addr,City,Cust Nm,Cust Region,Cust Terr,Decile (group),Email,End Date,Geo Id,Geo Level Nm,Geo Nm,Load date,Mdm Id,Prod Id,Prod Nm,Speciality,Start Date,State,Time Bucket,Time Bucket Master,Trgt Flg,Zip,Curr Calls,Curr Emails Clicked,Curr Emails Open,Curr Emails Sent,Curr Emails Unsubcribed,Curr In Prsn Calls,Curr Vrtl Calls,Decile,Fax,Geo Level Id,Phone,SR no,Tot Spkr Prgm,Tot Spkr Prgm Atnd
1375 STRINGTOWN RD,MYRTLE BEACH,JULIE A OTT,MID-CENTRAL,COLUMBIA,Decile 1-2,JULIE A OTT@aolmail.com,12/20/2021,U000101,NATION,US,11/10/2021,10009474,1001001,EXL,Consultants,9/10/2020,SC,LTD,LTD,N,29572,3,0,0,0,0,1,2,2,9788583795,2,7507334878,512,1,1
3755 W LAWRENCE AVE,SOUTH CHARLESTON,YONG CHUL CHUN,MID-CENTRAL,LEXINGTON,Decile 7-8,YONG CHUL CHUN@aolmail.com,12/20/2021,U000101,NATION,US,4/9/2021,10009481,1001001,EXL,Consultants,9/10/2020,WV,LTD,LTD,N,25309,2,1,1,3,1,0,2,8,2078855851,2,9007334886,513,1,1
405 STAGELINE RD,WAUPUN,EMILY ESTHER SPILSETH BINSTADT,MIDWEST,MILWAUKEE,Decile 3-4,EMILY ESTHER SPILSETH BINSTADT@icould.com,12/20/2021,U000101,NATION,US,4/26/2021,10009488,1001001,EXL,Consultants,9/10/2020,WI,LTD,LTD,N,53963,1,0,1,4,0,0,1,3,2077746501,2,8307334894,514,0,0
456 W 10TH AVE,DANBURY,MICHAEL R DICK,NORTHEAST,HARTFORD,Decile 7-8,MICHAEL R DICK@thunderbird.com,12/20/2021,U000101,NATION,US,2/28/2021,10009495,1001001,EXL,Consultants,9/10/2020,CT,LTD,LTD,N,06810,1,1,2,3,0,0,1,7,6032277555,2,9007334902,515,0,0
230 HARRISBURG AVE STE 2,NEWFANE,RUDOLPH FRANCIS RIGANO,NORTHEAST,ROCHESTER,Decile 3-4,RUDOLPH FRANCIS RIGANO@gmail.com,12/20/2021,U000101,NATION,US,6/20/2021,10009502,1001001,EXL,Hospitals,9/10/2020,NY,LTD,LTD,N,14108,3,2,2,2,0,1,2,3,2125628653,2,7807334910,516,0,0
333 PINE RIDGE BLVD,SAINT PETERSBURG,THOMAS L NIELSEN,SOUTH EAST,TAMPA,Decile 9-10,THOMAS L NIELSEN@gmail.com,12/20/2021,U000101,NATION,US,10/8/2021,10009509,1001001,EXL,Consultants,9/10/2020,FL,LTD,LTD,Y,33702,2,0,0,2,0,0,2,9,5852429663,2,7807334918,517,0,0
178 WASHINGTON AVENUE EXT,MANY,NATHAN B MITKOFF,SOUTHWEST,NEW ORLEANS,Decile 5-6,NATHAN B MITKOFF@icould.com,12/20/2021,U000101,NATION,US,3/23/2021,10009516,1001001,EXL,Consultants,9/10/2020,LA,LTD,LTD,N,71449,2,0,0,0,0,0,2,6,5857565189,2,9407334926,518,0,0
74 W CEDAR ST,CARLSBAD,ASGHAR MOHAMMAD ANWAR,WEST,SAN DIEGO,Decile 9-10,ASGHAR MOHAMMAD ANWAR@outlook.com,12/20/2021,U000101,NATION,US,3/15/2021,10009523,1001001,EXL,Hospitals,9/10/2020,CA,LTD,LTD,Y,92008,1,1,2,2,1,1,0,9,7189184469,2,9407334934,519,1,0
8045 HIGHWAY 72 W STE 100,DAVISON,VERNE HEWITT WEBSTER,GREAT LAKES,DETROIT NORTH,Decile 1-2,VERNE HEWITT WEBSTER@gmail.com,12/20/2021,U000101,NATION,US,8/24/2021,10009530,1001001,EXL,Consultants,9/10/2020,MI,LTD,LTD,N,48423,2,0,0,0,0,1,1,1,3522658224,2,7807334942,520,1,1
4300 ALTON RD,CHILLICOTHE,ROBERT P KOSTOROSKI,GREAT LAKES,COLUMBUS,Decile 3-4,ROBERT P KOSTOROSKI@outlook.com,12/20/2021,U000101,NATION,US,8/15/2021,10009537,1001001,EXL,Consultants,9/10/2020,OH,LTD,LTD,N,45601,1,0,0,0,0,0,1,4,9549832476,2,8407334950,521,1,1
5323 HARRY HINES BLVD STOP MC 8898,DUBLIN,NHAN TRANG LE,GREAT LAKES,COLUMBUS,Decile 9-10,NHAN TRANG LE@GLOBAL.NET,12/20/2021,U000101,NATION,US,3/18/2021,10009544,1001001,EXL,Consultants,9/10/2020,OH,LTD,LTD,Y,43017,1,2,2,2,0,1,0,10,9542288183,2,7507334958,522,0,0
825 NE MULTNOMAH ST STE 240,BEAR,LORELIE ANNE VARDANEGA,MID-ATLANTIC,PHILADELPHIA SOUTH,Decile 9-10,LORELIE ANNE VARDANEGA@aolmail.com,12/20/2021,U000101,NATION,US,10/24/2021,10009551,1001001,EXL,Hospitals,9/10/2020,DE,LTD,LTD,Y,19701,2,2,3,4,0,0,2,9,4046162342,2,7507334966,523,1,1
26458 MPL VLY BLCK DMND RD SE,SAYREVILLE,AARON KIEL VON KRUEGER,MID-ATLANTIC,CENTRAL SOUTH JERSEY,Decile 1-2,AARON KIEL VON KRUEGER@GLOBAL.NET,12/20/2021,U000101,NATION,US,12/25/2020,10009558,1001001,EXL,Consultants,9/10/2020,NJ,LTD,LTD,N,08872,3,1,2,2,1,1,2,2,2103588576,2,8307334974,524,1,1
622 W 168TH ST,PHOENIXVILLE,JOHANNA  CAMACHO-RIVERA,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 7-8,JOHANNA  CAMACHO-RIVERA@outlook.com,12/20/2021,U000101,NATION,US,5/25/2021,10009565,1001001,EXL,Consultants,9/10/2020,PA,LTD,LTD,N,19460,1,0,0,2,0,0,1,8,2107024239,2,8407334982,525,1,1
1400 PELHAM PKWY S STE B125,ABILENE,ALLAN MICHAEL SO,SOUTHWEST,AUSTIN,Decile 9-10,ALLAN MICHAEL SO@yahoo.com,12/20/2021,U000101,NATION,US,11/19/2020,10009572,1001001,EXL,Consultants,9/10/2020,TX,LTD,LTD,Y,79601,1,0,0,2,0,0,1,9,7203218041,2,9407334990,526,0,0
1350 HICKORY ST,MINNETONKA,MICHELLE M LEWIS,MIDWEST,MINNEAPOLIS SOUTH,Decile 5-6,MICHELLE M LEWIS@EDU.ORG,12/20/2021,U000101,NATION,US,10/6/2020,10009579,1001001,EXL,Hospitals,9/10/2020,MN,LTD,LTD,N,55343,2,0,1,1,0,0,2,5,2065984102,2,9007334998,527,1,0
400 N PEPPER AVE,EMMAUS,STEPHANIE EVETTE LEWIS,MID-ATLANTIC,ALLENTOWN,Decile 5-6,STEPHANIE EVETTE LEWIS@yahoo.com,12/20/2021,U000101,NATION,US,8/22/2021,10009586,1001001,EXL,Consultants,9/10/2020,PA,LTD,LTD,N,18049,2,0,0,4,0,0,2,6,2067448245,2,9407335006,528,0,0
200 HAWTHORNE LN,LEESBURG,ROBERT DEAN HICKS,MID-ATLANTIC,WASHINGTON DC NORTH,Decile 5-6,ROBERT DEAN HICKS@icould.com,12/20/2021,U000101,NATION,US,12/26/2020,10009593,1001001,EXL,Hospitals,9/10/2020,VA,LTD,LTD,N,20176,2,1,2,2,1,0,2,5,8778741031,2,9407335014,529,1,0
655 W 8TH ST,GREENWICH,MEGHAN L HUFSTETLER,NORTHEAST,HARTFORD,Decile 9-10,MEGHAN L HUFSTETLER@gmail.com,12/20/2021,U000101,NATION,US,8/21/2021,10009600,1001001,EXL,Consultants,9/10/2020,CT,LTD,LTD,Y,06830,2,2,2,2,0,0,2,9,2537562879,2,9007335022,530,1,0
115 W SILVER ST,MOORESVILLE,SATOKO  IGARASHI,MID-CENTRAL,CHARLOTTE,Decile 1-2,SATOKO  IGARASHI@thunderbird.com,12/20/2021,U000101,NATION,US,11/9/2020,10009607,1001001,EXL,Consultants,9/10/2020,NC,LTD,LTD,N,28117,2,1,2,4,1,1,1,1,2537562879,2,9007335030,531,1,1
1145 BROADWAY,BURLINGAME,MARK W SMITH,WEST,SAN  FRANCISCO WEST,Decile 1-2,MARK W SMITH@yahoo.com,12/20/2021,U000101,NATION,US,11/15/2020,10009614,1001001,EXL,Consultants,9/10/2020,CA,LTD,LTD,N,94010,0,0,0,0,0,0,0,2,2539680443,2,8407335038,532,0,0
1744 PAYNE AVE,ROCKY MOUNT,CYNTHIA STEELE VRABEL,MID-CENTRAL,RALEIGH DURHAM,Decile 3-4,CYNTHIA STEELE VRABEL@gmail.com,12/20/2021,U000101,NATION,US,4/16/2021,10009621,1001001,EXL,Hospitals,9/10/2020,NC,LTD,LTD,N,27804,1,0,0,0,0,0,1,3,5059257290,2,7507335046,533,0,0
1500 FOREST GLEN RD,VENTURA,ALLEN W SILFEE,WEST,LOS ANGELES NORTH,Decile 3-4,ALLEN W SILFEE@EDU.ORG,12/20/2021,U000101,NATION,US,8/30/2021,10009628,1001001,EXL,Consultants,9/10/2020,CA,LTD,LTD,N,93003,1,1,3,3,0,1,0,3,5703213166,2,9007335054,534,0,0
4510 MEDICAL CENTER DR STE 208,CHAMBERSBURG,STEFANI P ALEXANDER,MID-ATLANTIC,PHILADELPHIA SOUTH,Decile 9-10,STEFANI P ALEXANDER@aolmail.com,12/20/2021,U000101,NATION,US,10/6/2021,10009635,1001001,EXL,Hospitals,9/10/2020,PA,LTD,LTD,Y,17201,2,2,3,3,0,0,2,9,3232262657,2,8307335062,535,0,0
2600 SW HOLDEN ST,VINCENNES,CAROLYN MARGARET WEBSTER,GREAT LAKES,INDIANAPOLIS SOUTH,Decile 5-6,CAROLYN MARGARET WEBSTER@outlook.com,12/20/2021,U000101,NATION,US,9/12/2021,10009642,1001001,EXL,Consultants,9/10/2020,IN,LTD,LTD,N,47591,2,1,1,2,1,1,1,6,3232265760,2,8107335070,536,1,0
19829 N 27TH AVE,OXFORD,MANISH B PATEL,GREAT LAKES,CINCINNATI DAYTON,Decile 7-8,MANISH B PATEL@icould.com,12/20/2021,U000101,NATION,US,3/31/2021,10009649,1001001,EXL,Consultants,9/10/2020,OH,LTD,LTD,N,45056,2,0,0,3,0,1,1,8,4152063615,2,7807335078,537,1,0
5301 MCAULEY DR STE 2199,STOW,KRISTIN NICOLE COX,GREAT LAKES,COLUMBUS,Decile 7-8,KRISTIN NICOLE COX@outlook.com,12/20/2021,U000101,NATION,US,4/13/2021,10009656,1001001,EXL,Hospitals,9/10/2020,OH,LTD,LTD,N,44224,1,1,3,3,0,0,1,8,4152064722,2,9407335086,538,0,0
11100 EUCLID AVE,BAYONNE,ELIZABETH ANNE SCHREIBER,MID-ATLANTIC,NORTH JERSEY,Decile 9-10,ELIZABETH ANNE SCHREIBER@gmail.com,12/20/2021,U000101,NATION,US,1/23/2021,10009663,1001001,EXL,Hospitals,9/10/2020,NJ,LTD,LTD,Y,07002,1,0,0,0,0,0,1,10,9094257520,2,7807335094,539,1,0
5001 ROCKSIDE RD,MOOSIC,MARC JEFFREY FRIEDMAN,MID-ATLANTIC,ALLENTOWN,Decile 1-2,MARC JEFFREY FRIEDMAN@gmail.com,12/20/2021,U000101,NATION,US,4/22/2021,10009670,1001001,EXL,Consultants,9/10/2020,PA,LTD,LTD,N,18507,2,0,0,2,0,1,1,1,9094256635,2,8107335102,540,0,0
660 S EUCLID AVE,FISHERSVILLE,MEGAN BETH MOSELEY,MID-ATLANTIC,WASHINGTON DC SOUTH,Decile 7-8,MEGAN BETH MOSELEY@outlook.com,12/20/2021,U000101,NATION,US,4/27/2021,10009677,1001001,EXL,Consultants,9/10/2020,VA,LTD,LTD,N,22939,2,0,0,0,0,1,1,8,9166543186,2,8107335110,541,0,0
300 GEORGE ST STE 901,LA GRANGE PARK,REGINA MELENDEZ NAGARAJAN,MIDWEST,CHICAGO SOUTH,Decile 5-6,REGINA MELENDEZ NAGARAJAN@gmail.com,12/20/2021,U000101,NATION,US,5/11/2021,10009684,1001001,EXL,Consultants,9/10/2020,IL,LTD,LTD,N,60526,0,0,0,0,0,0,0,6,6142936050,2,8307335118,542,1,0
1514 JEFFERSON HWY,RACINE,DIPTI GHANASHYAM MUNSHI,MIDWEST,MILWAUKEE,Decile 1-2,DIPTI GHANASHYAM MUNSHI@gmail.com,12/20/2021,U000101,NATION,US,10/1/2020,10009691,1001001,EXL,Consultants,9/10/2020,WI,LTD,LTD,N,53403,1,0,2,4,0,1,0,1,6104021698,2,8107335126,543,0,0
900 NE 10TH ST,SCHENECTADY,ANDREA ANN BEAN,NORTHEAST,ALBANY,Decile 9-10,ANDREA ANN BEAN@aolmail.com,12/20/2021,U000101,NATION,US,9/24/2021,10009698,1001001,EXL,Consultants,9/10/2020,NY,LTD,LTD,Y,12305,1,0,1,1,0,0,1,10,8005368431,2,8407335134,544,0,0
1600 W 24TH ST,FLUSHING,ELISSA MARY BALL,NORTHEAST,BROOKLYN,Decile 9-10,ELISSA MARY BALL@yahoo.com,12/20/2021,U000101,NATION,US,10/28/2021,10009705,1001001,EXL,Consultants,9/10/2020,NY,LTD,LTD,Y,11367,1,2,3,3,0,1,0,9,7043555736,2,7807335142,545,0,0
1001 POTRERO AVE 1M3,NANUET,DAVID V PAUL,NORTHEAST,WHITE PLAINS / BRONX,Decile 1-2,DAVID V PAUL@yahoo.com,12/20/2021,U000101,NATION,US,1/16/2021,10009712,1001001,EXL,Consultants,9/10/2020,NY,LTD,LTD,N,10954,0,2,2,2,0,0,0,2,7043849565,2,8107335150,546,0,0
1500 E MEDICAL CENTER DR SPC 5912,KISSIMMEE,BETHANY ANN LAURIO,SOUTH EAST,ORLANDO,Decile 3-4,BETHANY ANN LAURIO@gmail.com,12/20/2021,U000101,NATION,US,9/10/2020,10009719,1001001,EXL,Hospitals,9/10/2020,FL,LTD,LTD,N,34741,2,0,0,2,0,0,2,4,3193538073,2,8407335158,547,0,0
1200 S CEDAR CREST BLVD,SHERMAN,JOHNNIE  GEORGES,SOUTHWEST,DALLAS,Decile 5-6,JOHNNIE  GEORGES@gmail.com,12/20/2021,U000101,NATION,US,8/28/2021,10009726,1001001,EXL,Consultants,9/10/2020,TX,LTD,LTD,N,75092,3,0,1,4,0,1,2,5,2129947177,2,7807335166,548,0,0
660 S EUCLID AVE,BELLINGHAM,JEFFREY EVAN SIEGLER,UPPER NORTHWEST CENTRAL,SEATTLE NORTH,Decile 3-4,JEFFREY EVAN SIEGLER@outlook.com,12/20/2021,U000101,NATION,US,8/14/2021,10009733,1001001,EXL,Consultants,9/10/2020,WA,LTD,LTD,N,98225,2,0,0,0,0,1,1,4,6175684780,2,8307335174,549,0,0
4675 HILL ST,GREENCASTLE,CHRISTOPHER JOHN KREINER,GREAT LAKES,INDIANAPOLIS SOUTH,Decile 3-4,CHRISTOPHER JOHN KREINER@yahoo.com,12/20/2021,U000101,NATION,US,6/30/2021,10009740,1001001,EXL,Consultants,9/10/2020,IN,LTD,LTD,N,46135,0,0,0,0,0,0,0,3,3523925465,2,9407335182,550,0,0
1500 E MEDICAL CENTER DR SPC 5912,ROCKFORD,AMANDA KLEIN FOX,GREAT LAKES,GRAND RAPIDS,Decile 9-10,AMANDA KLEIN FOX@thunderbird.com,12/20/2021,U000101,NATION,US,9/8/2021,10009747,1001001,EXL,Consultants,9/10/2020,MI,LTD,LTD,Y,49341,0,1,1,1,0,0,0,9,9514865705,2,8107335190,551,1,0
2400 HOSPITAL DR STE 420,ASHTABULA,KENNEDY KAW LIM,GREAT LAKES,CLEVELAND,Decile 9-10,KENNEDY KAW LIM@thunderbird.com,12/20/2021,U000101,NATION,US,10/15/2020,10009754,1001001,EXL,Consultants,9/10/2020,OH,LTD,LTD,Y,44004,3,0,0,0,0,1,2,9,2164642930,2,7807335198,552,0,0
1001 POTRERO AVE BLDG 80-83,OLD FORGE,CAROLINE M BERCHUCK,MID-ATLANTIC,ALLENTOWN,Decile 7-8,CAROLINE M BERCHUCK@gmail.com,12/20/2021,U000101,NATION,US,6/12/2021,10009761,1001001,EXL,Consultants,9/10/2020,PA,LTD,LTD,N,18518,1,2,3,3,0,1,0,7,6126257155,2,8307335206,553,0,0
3601 W 13 MILE RD,LANSDALE,DILIP  KHANAL,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 3-4,DILIP  KHANAL@thunderbird.com,12/20/2021,U000101,NATION,US,4/2/2021,10009768,1001001,EXL,Consultants,9/10/2020,PA,LTD,LTD,N,19446,2,2,2,2,0,0,2,4,4172692427,2,8407335214,554,1,1
231 N JUDD PKWY NE,EPHRATA,MAGHEN K YORK,MID-ATLANTIC,PHILADELPHIA SOUTH,Decile 7-8,MAGHEN K YORK@gmail.com,12/20/2021,U000101,NATION,US,12/4/2021,10009775,1001001,EXL,Consultants,9/10/2020,PA,LTD,LTD,N,17522,1,0,0,2,0,0,1,8,4178753450,2,7507335222,555,1,1
3245 N HALSTED ST,MOREHEAD,BRIAN C BOHOLST,MID-CENTRAL,LEXINGTON,Decile 5-6,BRIAN C BOHOLST@gmail.com,12/20/2021,U000101,NATION,US,4/20/2021,10009782,1001001,EXL,Hospitals,9/10/2020,KY,LTD,LTD,N,40351,0,0,0,0,0,0,0,5,5048423468,2,7807335230,556,1,1
730 SOM CENTER RD STE 230,HIGHLAND PARK,YORAM  MOYAL,MIDWEST,CHICAGO NORTH,Decile 7-8,YORAM  MOYAL@aolmail.com,12/20/2021,U000101,NATION,US,5/20/2021,10009789,1001001,EXL,Consultants,9/10/2020,IL,LTD,LTD,N,60035,1,0,0,0,0,0,1,7,3033067753,2,9007335238,557,0,0
211 4TH ST,NORTH CHICAGO,THOMAS FREEMASON KRAJEWSKI,MIDWEST,CHICAGO NORTH,Decile 7-8,THOMAS FREEMASON KRAJEWSKI@outlook.com,12/20/2021,U000101,NATION,US,8/22/2021,10009796,1001001,EXL,Hospitals,9/10/2020,IL,LTD,LTD,N,60064,1,2,2,3,1,0,1,8,5599357118,2,7507335246,558,1,1
10641 WOODBINE ST,CEDARBURG,AMANDA JANE SEVERSON,MIDWEST,MILWAUKEE,Decile 7-8,AMANDA JANE SEVERSON@gmail.com,12/20/2021,U000101,NATION,US,12/7/2020,10009803,1001001,EXL,Consultants,9/10/2020,WI,LTD,LTD,N,53012,3,1,3,3,0,1,2,8,5867513822,2,9007335254,559,1,1
601 IVY GTWY STE 2100,GREEN BAY,DEBRA A PURVIS HEATON,MIDWEST,MILWAUKEE,Decile 3-4,DEBRA A PURVIS HEATON@gmail.com,12/20/2021,U000101,NATION,US,2/8/2021,10009810,1001001,EXL,Hospitals,9/10/2020,WI,LTD,LTD,N,54313,2,0,3,4,0,1,1,4,3139163235,2,8307335262,560,0,0
1020 BANDANA BLVD W,ONEIDA,NAVID JAY ALIAGHAI,MIDWEST,MILWAUKEE,Decile 7-8,NAVID JAY ALIAGHAI@gmail.com,12/20/2021,U000101,NATION,US,6/9/2021,10009817,1001001,EXL,Consultants,9/10/2020,WI,LTD,LTD,N,54155,1,0,0,3,0,1,0,8,4109707005,2,9007335270,561,1,1
401 BROADWAY FL 1,PLANTSVILLE,KATHLEEN B SEVERSON,NORTHEAST,HARTFORD,Decile 1-2,KATHLEEN B SEVERSON@gmail.com,12/20/2021,U000101,NATION,US,1/4/2021,10009824,1001001,EXL,Hospitals,9/10/2020,CT,LTD,LTD,N,06479,2,2,2,3,0,1,1,2,7178513056,2,8307335278,562,0,0
2600 GREENBUSH ST,CHELMSFORD,DIANE C REIS,NORTHEAST,BOSTON NORTH,Decile 7-8,DIANE C REIS@gmail.com,12/20/2021,U000101,NATION,US,1/30/2021,10009831,1001001,EXL,Consultants,9/10/2020,MA,LTD,LTD,N,01824,1,0,0,4,0,1,0,7,7178122495,2,7807335286,563,0,0
2434 W BELVEDERE AVE,EAST AMHERST,SWEETA V NAGVENKAR,NORTHEAST,ROCHESTER,Decile 7-8,SWEETA V NAGVENKAR@icould.com,12/20/2021,U000101,NATION,US,9/23/2021,10009838,1001001,EXL,Consultants,9/10/2020,NY,LTD,LTD,N,14051,2,0,0,0,0,1,1,7,9012610701,2,8307335294,564,0,0
801 OSTRUM ST,BREWSTER,MARC S KOLPON,NORTHEAST,WHITE PLAINS / BRONX,Decile 3-4,MARC S KOLPON@EDU.ORG,12/20/2021,U000101,NATION,US,1/3/2021,10009845,1001001,EXL,Consultants,9/10/2020,NY,LTD,LTD,N,10509,2,2,3,3,1,1,1,4,7632363026,2,9007335302,565,0,0
4802 10TH AVE,NORCROSS,INESSA  SAFRONOVA,SOUTH EAST,ATLANTA NORTH,Decile 7-8,INESSA  SAFRONOVA@gmail.com,12/20/2021,U000101,NATION,US,5/20/2021,10009852,1001001,EXL,Hospitals,9/10/2020,GA,LTD,LTD,N,30093,3,0,0,0,0,1,2,7,3142861799,2,7807335310,566,1,1
2315 VICTORY BLVD,MANDEVILLE,LOUIS MARK EMMER,SOUTHWEST,NEW ORLEANS,Decile 3-4,LOUIS MARK EMMER@gmail.com,12/20/2021,U000101,NATION,US,4/8/2021,10009859,1001001,EXL,Consultants,9/10/2020,LA,LTD,LTD,N,70448,2,0,2,2,0,1,1,3,2105318172,2,8407335318,567,0,0
525 E 68TH ST 140,WHEAT RIDGE,LEAH CATHERINE SUSSER,UPPER NORTHWEST CENTRAL,DENVER,Decile 7-8,LEAH CATHERINE SUSSER@gmail.com,12/20/2021,U000101,NATION,US,11/15/2020,10009866,1001001,EXL,Consultants,9/10/2020,CO,LTD,LTD,N,80033,3,0,0,0,0,1,2,7,7195430171,2,9407335326,568,1,0
234 E 149TH ST,SHAWNEE MISSION,SANDRA RENITA SCOTT,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 3-4,SANDRA RENITA SCOTT@EDU.ORG,12/20/2021,U000101,NATION,US,6/1/2021,10009873,1001001,EXL,Consultants,9/10/2020,KS,LTD,LTD,N,66204,1,0,3,3,0,1,0,3,9514865705,2,8407335334,569,0,0
900 E MAIN ST,TUALATIN,STANLEY PAUL ARDOIN,UPPER NORTHWEST CENTRAL,PORTLAND,Decile 5-6,STANLEY PAUL ARDOIN@GLOBAL.NET,12/20/2021,U000101,NATION,US,11/24/2021,10009880,1001001,EXL,Consultants,9/10/2020,OR,LTD,LTD,N,97062,2,2,2,2,0,1,1,5,4406956507,2,8407335342,570,0,0
32-36 CENTRAL AVE,HONOLULU,CHRISTOPHER JD TEMS,Unassigned,US,Decile 5-6,CHRISTOPHER JD TEMS@gmail.com,12/20/2021,U000101,NATION,US,9/23/2021,10009887,1001001,EXL,Hospitals,9/10/2020,HI,LTD,LTD,N,96813,2,0,0,3,0,0,2,5,8662859740,2,9007335350,571,1,1
111 S 11TH ST,GALLUP,LINDSAY CICCANTI SPERA,Unassigned,US,Decile 3-4,LINDSAY CICCANTI SPERA@gmail.com,12/20/2021,U000101,NATION,US,7/6/2021,10009894,1001001,EXL,Consultants,9/10/2020,NM,LTD,LTD,N,87301,3,0,0,1,0,1,2,4,9018218340,2,8407335358,572,1,0
1701 N GEORGE MASON DR,SAINT CROIX FALLS,MAHNAZ P PARVEEN,Unassigned,US,Decile 5-6,MAHNAZ P PARVEEN@yahoo.com,12/20/2021,U000101,NATION,US,10/21/2021,10009901,1001001,EXL,Consultants,9/10/2020,WI,LTD,LTD,N,54024,2,0,2,2,0,1,1,6,9015165323,2,7807335366,573,0,0
8008 WESTPARK DR,SANTA MONICA,DAVID C LIPPS,WEST,LOS ANGELES NORTH,Decile 9-10,DAVID C LIPPS@aolmail.com,12/20/2021,U000101,NATION,US,8/24/2021,10009908,1001001,EXL,Consultants,9/10/2020,CA,LTD,LTD,Y,90404,2,0,0,4,0,1,1,10,6512543662,2,8407335374,574,1,1
1001 PENNSYLVANIA AVE,HANFORD,JOEL LAWRENCE DENNHARDT,WEST,SAN FRANCISCO EAST,Decile 1-2,JOEL LAWRENCE DENNHARDT@icould.com,12/20/2021,U000101,NATION,US,11/6/2020,10009915,1001001,EXL,Consultants,9/10/2020,CA,LTD,LTD,N,93230,2,0,2,2,0,0,2,1,6055040153,2,9007335382,575,0,0
200 1ST ST SW,PAINESVILLE,JORDAN CLARK KAROW,GREAT LAKES,CLEVELAND,Decile 7-8,JORDAN CLARK KAROW@thunderbird.com,12/20/2021,U000101,NATION,US,10/17/2020,10009922,1001001,EXL,Hospitals,9/10/2020,OH,LTD,LTD,N,44077,3,0,2,3,0,1,2,8,6038893774,2,8307335390,576,0,0
655 W 8TH ST,SELLERSVILLE,DELORES O THOMPSON,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 7-8,DELORES O THOMPSON@gmail.com,12/20/2021,U000101,NATION,US,4/11/2021,10009929,1001001,EXL,Consultants,9/10/2020,PA,LTD,LTD,N,18960,2,1,2,3,0,0,2,8,2128242317,2,8407335398,577,0,0
12605 E 16TH AVE,CHARLOTTESVLE,EVELIN D GOMEZ,MID-ATLANTIC,WASHINGTON DC SOUTH,Decile 3-4,EVELIN D GOMEZ@aolmail.com,12/20/2021,U000101,NATION,US,9/29/2020,10009936,1001001,EXL,Consultants,9/10/2020,VA,LTD,LTD,N,22903,2,0,0,0,0,0,2,3,3212546230,2,8307335406,578,0,0
240 W THOMAS RD,ALBERT LEA,THOMAS JOHN BAYUK,MIDWEST,MINNEAPOLIS SOUTH,Decile 7-8,THOMAS JOHN BAYUK@gmail.com,12/20/2021,U000101,NATION,US,8/28/2021,10009943,1001001,EXL,Consultants,9/10/2020,MN,LTD,LTD,N,56007,2,0,0,0,0,0,2,7,4072406216,2,9007335414,579,1,0
26520 CACTUS AVE,MIDDLEBURG,HEIDI PATRICIA SCALZITTI,SOUTH EAST,JACKSONVILLE,Decile 5-6,HEIDI PATRICIA SCALZITTI@outlook.com,12/20/2021,U000101,NATION,US,10/9/2021,10009950,1001001,EXL,Consultants,9/10/2020,FL,LTD,LTD,N,32068,2,0,0,0,0,0,2,6,2103442649,2,7507335422,580,1,1
GEORGE ST YORK HOSPITAL,RYE,MICHAEL A BOHRN,UPPER NORTHWEST CENTRAL,DENVER,Decile 5-6,MICHAEL A BOHRN@outlook.com,12/20/2021,U000101,NATION,US,5/30/2021,10009957,1001001,EXL,Consultants,9/10/2020,CO,LTD,LTD,N,81069,1,2,2,3,1,1,0,6,2537562963,2,8407335430,581,0,0
11 MADISON AVE,POULSBO,ANDREW W VARGA,UPPER NORTHWEST CENTRAL,SEATTLE SOUTH,Decile 7-8,ANDREW W VARGA@thunderbird.com,12/20/2021,U000101,NATION,US,1/24/2021,10009964,1001001,EXL,Consultants,9/10/2020,WA,LTD,LTD,N,98370,2,1,3,3,1,1,1,7,2483995792,2,7807335438,582,0,0
995 POTRERO AVE,MONTEBELLO,MARTA GRAZYNA KOCHANSKA,WEST,LOS ANGELES EAST,Decile 5-6,MARTA GRAZYNA KOCHANSKA@thunderbird.com,12/20/2021,U000101,NATION,US,12/1/2020,10009971,1001001,EXL,Hospitals,9/10/2020,CA,LTD,LTD,N,90640,1,0,0,0,0,0,1,5,2166361524,2,8107335446,583,0,0
1960 S 16TH ST,PERRY,JENNIFER HELLER BLONDIN,SOUTH EAST,JACKSONVILLE,Decile 5-6,JENNIFER HELLER BLONDIN@icould.com,12/20/2021,U000101,NATION,US,1/16/2021,10009978,1001001,EXL,Consultants,9/10/2020,FL,LTD,LTD,N,32347,1,0,0,0,0,1,0,5,4409744164,2,9007335454,584,1,0
200 1ST ST SW,FORT WALTON BEACH,ROBERT J HYDE,SOUTHWEST,MOBILE PENSACOLA,Decile 9-10,ROBERT J HYDE@icould.com,12/20/2021,U000101,NATION,US,7/20/2021,10009985,1001001,EXL,Consultants,9/10/2020,FL,LTD,LTD,Y,32547,3,2,2,4,0,1,2,10,6142934200,2,7807335462,585,0,0
